"","family","sample","oto_length_mm","oto_length_um","type_age","region","locality","source","oto_width_mm","fish_length_cm"
"101","Atherinidae","AT13-12-2-2",1.54925372,1549.25372,"Sub Recent","Bocas","Casa Blanca","orig_df",1.255303303,2.97208688814108
"102","Atherinidae","AT13-12-1-2",1.566587147,1566.587147,"Sub Recent","Bocas","Casa Blanca","orig_df",1.36330514,3.02293157558714
"103","Atherinidae","AT14-1-3",1.573992293,1573.992293,"Sub Recent","Bocas","Casa Blanca","orig_df",1.202493549,3.04474364779508
"104","Atherinidae","AT13-12-1-1",1.588851277,1588.851277,"Sub Recent","Bocas","Casa Blanca","orig_df",1.371693593,3.08867367882456
"105","Atherinidae","AT14-1-3",1.624700576,1624.700576,"Sub Recent","Bocas","Casa Blanca","orig_df",1.363651023,3.19554836240577
"106","Atherinidae","AT13-12-2-2",1.636137949,1636.137949,"Sub Recent","Bocas","Casa Blanca","orig_df",1.392383776,3.22990814797074
"107","Atherinidae","AT13-12-4-1",1.638071555,1638.071555,"Sub Recent","Bocas","Casa Blanca","orig_df",1.584650323,3.23572951041163
"108","Atherinidae","AT13-12-2-2",1.64172285,1641.72285,"Sub Recent","Bocas","Casa Blanca","orig_df",1.380376998,3.24673202203386
"109","Atherinidae","AT14-1-3",1.676103043,1676.103043,"Sub Recent","Bocas","Casa Blanca","orig_df",1.3844836,3.3509584594254
"110","Atherinidae","AT13-10-1-2",1.685664245,1685.664245,"Sub Recent","Bocas","Punta Caracol","orig_df",1.379333345,3.38014491653214
"111","Atherinidae","AT13-12-2-2",1.693190256,1693.190256,"Sub Recent","Bocas","Casa Blanca","orig_df",1.4002785,3.40317994997616
"112","Atherinidae","AT13-10-2-2",1.737443995,1737.443995,"Sub Recent","Bocas","Punta Caracol","orig_df",1.458834502,3.53971240667439
"113","Atherinidae","AT13-12-2-2",1.737874482,1737.874482,"Sub Recent","Bocas","Casa Blanca","orig_df",1.422282577,3.5410496093912
"114","Atherinidae","AT13-12-2-2",1.832103657,1832.103657,"Sub Recent","Bocas","Casa Blanca","orig_df",1.528393304,3.83789645021165
"115","Atherinidae","AT13-12-4-1",1.85601688,1856.01688,"Sub Recent","Bocas","Casa Blanca","orig_df",1.642471986,3.91452919488353
"116","Atherinidae","AT14-1-3",1.858346262,1858.346262,"Sub Recent","Bocas","Casa Blanca","orig_df",1.807252424,3.9220218038284
"117","Atherinidae","AT13-12-1-1",1.862734897,1862.734897,"Sub Recent","Bocas","Casa Blanca","orig_df",1.57051719,3.93615152138025
"118","Atherinidae","AT14-1-3",1.885978846,1885.978846,"Sub Recent","Bocas","Casa Blanca","orig_df",1.718496317,4.01127900251937
"119","Atherinidae","AT13-10-2-2",1.891062834,1891.062834,"Sub Recent","Bocas","Punta Caracol","orig_df",1.664919018,4.02777616396646
"120","Atherinidae","AT13-12-1-2",1.901800672,1901.800672,"Sub Recent","Bocas","Casa Blanca","orig_df",1.515437014,4.06269612861356
"121","Atherinidae","AT13-12-2-2",1.947132731,1947.132731,"Sub Recent","Bocas","Casa Blanca","orig_df",1.737629401,4.21125661538598
"122","Atherinidae","AT14-1-3",2.09159646,2091.59646,"Sub Recent","Bocas","Casa Blanca","orig_df",1.988654514,4.69677111635034
"123","Bregmacerotidae","AT13-10-4-1",1.034036091,1034.036091,"Sub Recent","Bocas","Punta Caracol","orig_df",1.007194356,5.39296124833932
"124","Bregmacerotidae","AT14-2-5",1.137792786,1137.792786,"Sub Recent","Bocas","Punta Donato","orig_df",1.072652395,5.80767668509542
"125","Bregmacerotidae","AT14-2-5",1.234117149,1234.117149,"Sub Recent","Bocas","Punta Donato","orig_df",1.144673284,6.18510826683148
"126","Bregmacerotidae","AT13-10-4-1",1.283501898,1283.501898,"Sub Recent","Bocas","Punta Caracol","orig_df",1.12656524,6.3760226326846
"127","Bregmacerotidae","AT13-10-1-1",1.341703179,1341.703179,"Sub Recent","Bocas","Punta Caracol","orig_df",1.010681979,6.5989111361526
